feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
interrog,-0.26378600783890127,-0.2637590474468189,32,1.1741945398998534e-06,1.091094959782319e-05,True
adverb,-1.8198518250966587,-2.142221192489403,32,1.1741945398998534e-06,1.091094959782319e-05,True
achieve,0.9228530008614437,1.0579265679189873,32,1.1741945398998534e-06,1.091094959782319e-05,True
drives,2.2666273458461683,2.4586143865741934,32,1.1741945398998534e-06,1.091094959782319e-05,True
informal,-1.411828030392773,-2.3647330261259385,32,1.1741945398998534e-06,1.091094959782319e-05,True
assent,-0.11282564968724733,-0.22942324351433915,32,1.1741945398998534e-06,1.091094959782319e-05,True
filler,-0.24909986351860208,-0.353680211666349,32,1.1741945398998534e-06,1.091094959782319e-05,True
risk,0.7321198931773764,0.7673211243075249,32,1.296128561290189e-06,1.091094959782319e-05,True
differ,-0.6599190641406911,-0.6181709678752335,32,1.4301944151301738e-06,1.091094959782319e-05,True
nonflu,-0.26710854057319877,-0.5154343784333819,32,1.739426747479059e-06,1.091094959782319e-05,True
auxverb,-1.484902913600111,-1.5895828875635267,32,1.739426747479059e-06,1.091094959782319e-05,True
pronoun,-0.8358856416257132,-0.8532814526443736,32,2.5615194736307725e-06,1.4728736973376943e-05,True
negate,-0.9778244908402247,-1.087520179508782,32,3.410972956658962e-06,1.810439492380526e-05,True
ipron,-0.737460767414256,-0.6686867340264032,32,4.120932324461698e-06,2.0310309313418368e-05,True
i,-0.15262781137366666,-0.17964625193796535,32,5.988302581896325e-06,2.7546191876723095e-05,True
cause,0.9908416189587326,0.9433137116051922,32,1.6234165060162967e-05,7.00098368219528e-05,True
power,0.5456353959282135,0.6605440978559041,32,1.7735563792689098e-05,7.198552362914987e-05,True
health,0.6710058215059698,0.9478619978374894,32,2.5171416880511184e-05,9.649043137529287e-05,True
anger,-0.20771478914152725,-0.16448508418369717,32,4.580099757795689e-05,0.00016632993857258028,True
insight,0.7482422165431428,0.7659586037814133,32,8.185414177147503e-05,0.0002785191284349651,True
you,-0.03143228055199886,-0.04104370906246589,32,8.857457687863547e-05,0.0002785191284349651,True
anx,0.2714356396334413,0.2750932986719459,32,8.880320037056858e-05,0.0002785191284349651,True
number,-0.537651673700937,-0.4403188582049231,32,0.00013273589812356102,0.00039820769437068305,True
ppron,-0.15017274872215658,-0.17641047878530364,32,0.00016819865161111006,0.0004835711233819414,True
affect,0.5389414479441368,0.6190372152764906,32,0.00021243812505624408,0.0005863292251552337,True
discrep,-0.29365346556656324,-0.24624161772975142,32,0.0002674361202427063,0.0007097343191056436,True
bio,0.4918805637003236,0.8581917719276348,32,0.0006984106608704661,0.0017848272444467466,True
relativ,-0.9196774847561069,-0.895972073775114,32,0.0007500311345902854,0.001848291010240346,True
hear,-0.13833874552988465,-0.1284008987119745,32,0.0009269245230436993,0.00220544110655225,True
family,-0.04409299037734375,-0.054461439125214256,32,0.0010999079687827968,0.002529788328200433,True
function,-2.46727486134305,-2.0449198860178717,32,0.001141828573450439,0.002541489405421945,True
time,-0.7130160567893036,-0.6863467099617138,32,0.0013097564973623772,0.002824162447437626,True
netspeak,-0.01921851959800431,-0.037164312619565515,32,0.002404892089595166,0.005028410732789893,True
negemo,0.3653461137401783,0.35067753374193444,32,0.002894978067721523,0.005875102549199562,True
they,0.0,-0.007523532059361864,32,0.0033456181158508813,0.006412434722047522,True
swear,0.0,-0.00893693498459731,32,0.0033456181158508813,0.006412434722047522,True
space,-0.3998679725148865,-0.38882815805822696,32,0.004221797573894929,0.007873081962128381,True
posemo,0.23871844946763732,0.3122592010330724,32,0.004490198841436046,0.007944197950233005,True
reward,0.1428802781444668,0.19226494467778596,32,0.004490198841436046,0.007944197950233005,True
casepart,2.0483968525091747,3.1112807414334593,32,0.004773969085095388,0.008235096671789543,True
work,0.14744805094132174,0.4648468012317426,32,0.010253901433485788,0.01725656582708584,True
male,-0.013803480425081758,-0.04169024998643713,32,0.02853318507900548,0.04620673039091463,True
we,-0.06997640112633616,-0.048266005859018773,32,0.028795498649410566,0.04620673039091463,True
