feature,median_delta,mean_delta,n,p_raw,p_fdr_bh,sig_fdr_0.05
affect,0.8968029581086827,0.9619124750443185,50,9.521272659185342e-13,6.569678134837886e-11,True
drives,0.6916678203298072,0.8207587576397064,50,6.337863567296154e-11,2.186562930717173e-09,True
health,0.7148523500337872,0.8128330095200049,50,2.0232171493717033e-10,4.6533994435549175e-09,True
risk,0.29352069137438114,0.37566848958314303,50,3.918623114884667e-08,6.759624873176051e-07,True
posemo,0.5095033294156285,0.5555463338777819,50,1.3054913772236887e-07,1.383244820780354e-06,True
work,0.41276024803448924,0.5322628619507339,50,1.4032918471684752e-07,1.383244820780354e-06,True
negemo,0.35007350704661444,0.3876669179023205,50,1.4032918471684752e-07,1.383244820780354e-06,True
achieve,0.21663929837970475,0.2534881841565346,50,6.354784893858323e-07,5.4810019709528035e-06,True
adverb,-0.38110360427602186,-0.3965943466466105,50,1.3667570399888973e-06,1.047847063991488e-05,True
insight,0.37835397438726737,0.40522285221272375,50,3.006746544187422e-06,2.074655115489321e-05,True
informal,-0.2880178876452185,-0.44190033781000615,50,7.111603951059919e-06,4.460915205664859e-05,True
leisure,0.1917581391101667,0.21952837784288715,50,7.946967700789287e-06,4.56950642795384e-05,True
pronoun,-0.22707636064028658,-0.33282851648294576,50,1.4422642710343325e-05,7.65509497702838e-05,True
ipron,-0.23865282070608895,-0.2797259204379808,50,2.6885878247284722e-05,0.00013250897136161756,True
space,-0.24905087418439903,-0.3128862771650966,50,4.213757459226031e-05,0.00019383284312439743,True
relativ,-0.2624576933398748,-0.6465501211444831,50,6.508990648690371e-05,0.00028070022172477227,True
anger,0.08423000510170071,0.10017175161129507,50,8.630484972549368e-05,0.0003502961547681802,True
function,-0.9715592432561024,-0.6394477181858363,50,0.00011374680137699045,0.0004360294052784634,True
bio,0.27120965310627576,0.507971227061005,50,0.0001628744437223162,0.0005593200741209614,True
reward,0.15673373031429505,0.1193586914892968,50,0.00017022784864551,0.0005593200741209614,True
time,-0.2770477591173237,-0.43215545690081747,50,0.00017022784864551,0.0005593200741209614,True
power,0.20146368264852488,0.24555319343825843,50,0.0002308749851795966,0.0007241079080632803,True
number,-0.19403704627405272,-0.18121958379596945,50,0.0003825853095680287,0.0011477559287040862,True
female,-0.013451140227643977,-0.029943350512841277,50,0.00040357640095270756,0.0011602821527390342,True
certain,0.11709800596262837,0.1349502864710333,50,0.0009149367393188612,0.002525225400520057,True
cogproc,0.3476440771576854,0.38684983431507425,50,0.001539555129280501,0.0040781363883674515,True
quant,-0.15211477598800527,-0.15734790021081346,50,0.0015962870115284744,0.0040781363883674515,True
differ,-0.11513790528009701,-0.15608037986677245,50,0.001654895925714328,0.0040781363883674515,True
interrog,-0.05306524480336322,-0.06713658178640303,50,0.002356807144249018,0.0056075756190752495,True
home,-0.012672196964344337,-0.019978930129580533,50,0.0033836301270018963,0.007782349292104362,True
filler,-0.041978872230093445,-0.05312777014281793,50,0.0036191049075792858,0.008055427052353894,True
auxverb,-0.2831430537355639,-0.2808824457128982,50,0.004606102327862516,0.00993190814445355,True
